,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
4015,64TH REPRESENTATIVE,Under Votes,,569,1,0.0,MCHENRY 28,2018_General Election
3921,64TH REPRESENTATIVE,Under Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3922,64TH REPRESENTATIVE,Over Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3945,64TH REPRESENTATIVE,Over Votes,,1263,0,0.0,MCHENRY 25,2018_General Election
3991,64TH REPRESENTATIVE,Over Votes,,1249,0,0.0,MCHENRY 27,2018_General Election
4016,64TH REPRESENTATIVE,Over Votes,,569,0,0.0,MCHENRY 28,2018_General Election
6223,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,1208,0,0.0,MCHENRY 24,2018_General Election
8102,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1273,435,34.0,MCHENRY 21,2018_General Election
8157,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1249,425,34.0,MCHENRY 27,2018_General Election
8129,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1208,267,22.0,MCHENRY 24,2018_General Election
